,run_id,abs_rate_Hz,kr_rate_Hz,rr_rate_MBHz
121,12216,107.3888983,28.16976504,257.8288842
122,12215,106.8763451,27.88327215,257.3757221
123,12213,106.9000329,27.75828062,257.8041705
124,12211,106.756648,27.81221632,259.4603898
125,12209,106.6068249,27.52464591,259.200679
126,12207,106.8114031,27.83215961,259.3464345
127,12205,106.4092967,27.64948061,261.5343977
128,12203,106.0296161,27.19774075,261.7612564
129,12200,105.519577,26.82744402,266.9551123
130,12198,104.6147242,26.53180755,269.6354012
131,12196,103.8098189,25.93232911,273.0103687
132,12193,102.5326085,25.17338457,278.0294407
133,12190,100.5385717,24.25460562,285.0010549
134,12188,97.80047678,23.25845882,294.3151476
135,12184,94.10746052,21.57147337,308.1459856
136,12180,78.44065911,16.15508347,351.1626319
137,12177,53.15468261,8.443485478,428.706184
138,12172,40.54704223,3.981516088,503.4059325
139,12167,40.78010972,3.655946449,507.4044995
140,12166,41.24271754,3.753069546,505.8878151
141,12159,47.26041399,5.558769415,469.0353056
142,12158,47.20660988,5.523787727,469.7997016
143,12156,47.47623994,5.583544873,470.7558227
144,12152,47.60489586,5.649328358,471.6050425
145,12149,47.42609434,5.540255324,469.4539898
146,12148,47.55534264,5.584362453,471.756504
147,12145,48.2012962,5.726215793,465.810715
148,12143,49.33426528,6.050266399,461.5007525
149,12142,50.32530297,6.352740411,459.999289
150,12141,51.65824614,6.595555871,-0.000555322
152,12136,67.77048204,11.03259182,401.2155928
153,12135,77.08019333,14.03687064,371.1377665
154,12134,90.88702915,18.40198142,329.5546806
155,12132,112.3307376,27.58178177,235.1117223
156,12130,14.71142881,2.919656208,40.20628392
157,12128,9.313657958,0.778823122,35.27479902
158,12127,7.415488727,0.126490213,31.95459001
